Date,MAR,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,ATVI,AVGO,BIDU,BIIB,BMRN,CDNS,CDW,CERN,CHKP,CHTR,CMCSA,COST,CPRT,CSCO,CSX,CTAS,CTSH,CTXS,DLTR,DXCM,EA,EBAY,EXC,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,IDXX,ILMN,INCY,INTC,INTU,ISRG,KLAC,LBTYA,LBTYK,LRCX,LULU,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PEP,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TMUS,TSLA,TTWO,TXN,ULTA,VRSK,VRSN,VRTX,WDAY,WDC,XEL,XLNX,SPRTRN
20140131,-0.001033,-0.107697,-0.011507,-0.052229,-0.051969,0.018502,0.039902,0.1945,-0.048643,-0.113695,0.042689,-0.100554,-0.099427,-0.096798,-0.03926,0.033255,-0.120193,0.118281,-0.020896,0.007133,0.013271,0.020631,0.014434,0.001755,0.047821,-0.055957,-0.064666,-0.015604,-0.064651,-0.042289,-0.040305,-0.145138,-0.104573,0.142615,0.150828,-0.030347,0.058781,-0.067183,-0.07009,0.144943,-0.050804,-0.09711,-0.095252,0.073902,0.053769,0.074175,0.374446,0.294094,-0.054517,-0.037736,0.061185,-0.046385,-0.10191,-0.059179,-0.070523,-0.225987,0.002458,-0.071955,-0.104833,0.001918,0.011494,0.05931,0.084588,0.111796,0.032815,-0.046183,-0.019975,0.052689,0.017636,-0.073797,-0.053574,-0.031107,-0.000404,0.048503,-0.093687,-0.092741,0.124593,0.025788,-0.017501,0.121742,0.059174,-0.09126,0.205951,0.104203,-0.027556,-0.111997,-0.028302,-0.01723,0.063795,0.07672,0.027056,0.034717,0.010889,-0.035583
20140228,0.103448,0.057311,0.159486,0.060493,0.015405,0.024,-0.11932,0.113841,0.133175,0.081633,0.047751,0.009507,0.063543,0.017842,0.129597,0.129261,0.092204,0.089688,0.175958,0.085694,0.107414,0.078748,0.030414,-0.074672,-0.050689,0.042275,0.062719,-0.005021,0.035303,0.062905,0.07378,0.110597,0.084125,0.114681,0.082955,0.104699,0.05931,0.208526,0.074209,0.094135,0.035682,0.041933,0.054054,0.026534,0.029366,0.101873,0.128224,-0.019231,0.018134,0.066894,0.091393,0.067187,0.082823,0.067188,0.02213,0.101116,0.023295,0.038767,0.079697,0.089838,0.01982,0.049913,0.089557,0.088682,-0.045583,-0.058557,0.176115,0.162978,0.151703,-0.001435,0.179286,-0.003609,0.014417,0.152154,0.072007,0.001406,0.172314,0.00838,0.013547,0.204076,0.172231,-0.00229,0.349485,0.030761,0.060377,0.046436,-0.002271,-0.061957,0.023026,0.227608,0.009516,0.047734,0.129901,0.043117
20140331,0.033008,0.019953,-0.04211,0.045651,-0.000514,-0.062881,-0.010319,-0.139536,0.076741,0.080863,-0.005483,-0.071072,-0.077826,0.083817,0.066667,0.048298,-0.109167,-0.102178,-0.157901,0.013699,0.048529,-0.083428,0.003115,-0.028161,-0.027568,-0.043836,-0.001098,0.028211,0.045471,-0.01731,-0.027484,-0.043464,-0.047289,-0.082927,0.01469,-0.060065,0.103584,-0.074876,0.044713,-0.12007,-0.023428,-0.040092,-0.043083,-0.1441,-0.083198,-0.035743,-0.133127,-0.167134,0.042569,-0.005374,-0.015377,0.061243,-0.05524,-0.038271,0.063213,0.045319,0.048518,0.019395,-0.085467,-0.061487,0.069956,-0.02191,0.012534,-0.21004,-0.08686,-0.027035,-0.025571,0.045883,-0.016308,0.020115,0.024301,0.049925,0.052065,-0.096902,-0.014148,0.034104,-0.133676,-0.113573,-0.049257,-0.229218,0.058094,0.082951,-0.148523,0.109256,0.048932,0.086409,-0.058934,-0.021775,-0.125402,-0.168213,0.058972,0.012215,0.039655,0.006932
20140430,0.034095,0.099396,-0.061606,-0.034814,0.00906,-0.023587,-0.027032,0.0399,-0.066373,0.01995,-0.093968,-0.095833,-0.009218,-0.119174,-0.021037,-0.014128,0.010376,-0.061301,-0.146313,0.001287,0.027332,-0.088,-0.052787,0.100081,0.034372,0.035817,-0.003298,0.039482,-0.025889,-0.011407,-0.053261,0.032556,-0.002108,-0.215667,-0.024474,-0.061731,0.043802,-0.020828,0.020893,-0.007636,0.072147,0.006427,0.001564,0.107677,0,0.041516,-0.08617,-0.092676,0.033935,-0.023028,-0.174182,-0.074487,-0.042788,-0.056006,0.047455,-0.12664,-0.004606,0.031838,-0.019346,-0.035853,-0.014394,0.103973,-0.020531,-0.085192,-0.030894,0.011738,0.031267,0.013773,0.002696,-0.018545,-0.051305,0.028623,-0.001902,-0.011289,-0.048763,-0.037612,-0.1554,-0.003156,-0.020568,-0.236676,0.094083,-0.11323,-0.002686,-0.070679,-0.029898,-0.099856,0.002168,-0.124838,-0.042704,-0.200809,-0.040732,0.049737,-0.130459,0.006201
20140530,0.06715,0.078293,0.046199,0.028466,0.022063,0.090587,0.083747,0.051328,0.064533,-0.022005,0.0434,0.027685,-0.037479,0.055166,0.038481,0.112913,0.077739,0.112322,-0.004637,0.072622,0.044785,0.053606,0.006556,0.05615,0.008501,0.006008,-0.0193,0.06534,0.047484,0.054132,0.014717,0.044849,0.018437,0.04069,0.241343,-0.021223,0.060234,0.034653,-0.026558,0.058883,-0.011023,0.100255,0.105871,0.034654,0.063096,0.016134,0.164888,0.020387,0.032034,0.046733,0.022228,0.030942,0.130588,0.113713,0.076896,-0.028304,0.00874,0.055259,-0.087917,0.036141,0.020297,0.094564,0.06381,0.297447,0.039315,0.050081,0.033297,0.041597,-0.005646,-0.008371,-0.006252,0.028408,0.022106,0.033918,0.005435,0.040782,-0.132796,0.028245,0.023126,-0.232912,0.057735,0.172072,-0.000577,0.012267,0.033663,-0.032037,-0.014978,0.061467,0.067356,0.072533,-0.002611,-0.034829,0.001271,0.02103
20140630,0.040247,0.027662,0.121165,0.032264,0.001004,0.076571,0.026186,-0.060546,0.116889,0.0475,0.020519,0.03913,0.032267,0.08605,0.073147,0.023914,0.12665,-0.012713,0.073326,0.047933,0.083985,-0.045698,0.039547,0.106469,0.032663,-0.007412,0.010964,0.009342,0.047959,0.022859,0.006172,0.009359,0.026966,0.174763,0.021065,-0.013207,-0.009503,0.074488,0.01518,0.063033,0.003494,-0.006674,-0.007343,0.020933,0.027488,0.039617,0.128215,0.139051,0.13104,0.015639,0.113756,0.108669,-0.01777,-0.011449,0.092199,-0.092987,0.02542,0.003456,0.123381,0.023782,0.018564,0.152501,-0.012847,0.054496,-0.01324,0.10118,-0.02421,0.065701,0.017912,0.010946,-0.008365,0.01885,-0.010317,-0.079782,-0.030972,0.056526,0.146239,0.054878,0.008574,0.321787,0.084276,-0.020682,0.155412,0.078042,0.017241,0.076678,0.014023,-0.025359,0.310268,0.146612,0.055208,0.057542,0.007453,0.019058
20140731,0.009516,0.028731,-0.042981,-0.082116,0.025605,-0.053743,-0.032655,0.017536,-0.07051,-0.066826,0.076202,-0.036302,0.014772,0.009542,0.003587,-0.037325,0.156523,0.060512,-0.006269,-0.037736,-0.031054,0.070182,0.012532,-0.024372,0.000931,0.02375,-0.071746,0.022938,-0.028887,-0.014794,0.002862,0.082814,0.000184,-0.049924,-0.063284,0.055334,-0.148026,0.00838,-0.098707,0.079655,0.022381,-0.07508,-0.099004,0.104209,-0.006397,-0.068054,-0.104346,-0.157158,0.096764,0.020241,0.111098,-0.015832,-0.059249,-0.054833,0.035809,-0.049778,-0.077648,-0.042279,-0.030398,-0.099535,0.035012,-0.072838,-0.133097,-0.040581,0.068045,0.072486,-0.056095,-0.057872,-0.003984,-0.004091,-0.008913,-0.01388,-0.069192,0.119482,-0.026161,0.003877,-0.079739,-0.023121,-0.027048,-0.15019,0.08092,-0.020226,-0.069816,0.006295,-0.025947,0.010065,0.000333,0.107355,-0.060942,-0.066993,0.082231,-0.044369,-0.130628,-0.01508
20140829,0.075568,0.077092,0.038269,0.030022,0.026688,0.005436,0.004612,0.064784,0.107109,0.066496,0.098909,0.08323,0.056668,0.020816,0.051832,0.183194,-0.007082,0.025868,0.152054,0.047534,0.070978,0.044565,0.046412,0.015208,0.018425,0.030117,0.031456,-0.009512,0.038436,0.05655,-0.067686,0.037354,-0.015513,0.173036,0.126191,0.050539,0.085264,0.083858,0.020854,0.029869,0.045403,0.087808,0.118409,0.174877,0,-0.004097,0.121631,0.139374,0.037032,0.014761,0.027232,0.075955,0.04976,0.048512,0.027286,0.038087,0.092537,0.004722,0.242703,0.38227,0.059082,0.067103,0.06346,0.129921,0.085479,0.051999,0.116286,0.098957,0.039867,0.015606,0.012205,0.04983,0.037982,0.108263,0.171118,0.005021,0.250284,0.073964,0.08287,0.146874,0.1184,-0.086824,0.207792,0.050492,0.04173,0.053937,0.069121,0.055967,0.052413,0.086236,0.031235,0.040584,0.034282,0.037655
20140930,0.007205,-0.017073,-0.037691,-0.024648,0.000958,0.027218,-0.051047,-0.020497,-0.064705,-0.182254,0.007749,-0.048962,-0.06925,0.02809,-0.116822,0.063711,0.017294,-0.035652,0.013199,-0.023823,-0.06023,0.033125,-0.025063,-0.035061,-0.013067,0.035018,-0.090473,0.014806,0.037205,0.067281,-0.020993,0.015371,0.045594,-0.095249,-0.058932,0.02036,0.020048,0.020023,-0.008392,0.056402,0.002559,-0.029181,-0.028374,-0.01032,0.010077,-0.049528,-0.086084,-0.095018,-0.002864,0.053739,-0.017425,0.030882,-0.025876,-0.021822,0.041302,0.052091,-0.032767,-0.049047,-0.053362,0.036874,0.020471,0.05092,-0.021042,-0.055397,0.018975,-0.027033,-0.051414,-0.001313,-0.03603,0.061224,-0.094491,0.013569,-0.017477,0.02872,0.004773,-0.030202,-0.155192,-0.038568,-0.029462,0.026592,0.024532,-0.040226,-0.100185,-0.018715,-0.01017,0.214366,-0.05141,-0.034253,0.200278,-0.094103,-0.055237,-0.042122,0.002367,-0.015514
20141031,0.083691,0.07196,0.013441,0.002627,0.126771,0.044283,0.018189,0.154022,0.022212,-0.178886,0.154635,-0.052661,0.038192,0.008703,-0.040404,-0.008621,0.094121,-0.029413,0.143293,0.042998,-0.006763,0.063287,0.072357,0.046376,0.029193,0.064236,0.067859,-0.027811,0.111354,0.037541,0.091132,-0.099663,0.080257,0.124031,0.15052,-0.07293,0.073335,-0.030244,-0.013586,-0.05124,0.074959,-0.004203,0.005541,0.052137,-0.031661,0.202325,0.174841,0.367176,-0.023263,0.00696,0.073578,0.004697,0.068876,0.084238,0.042303,-0.008569,-0.087233,0.029038,0.253106,0.100469,0.012726,-0.034151,-0.029762,-0.129461,0.000116,0.105767,0.059079,0.003361,0.169726,0.070588,0.148484,0.033086,0.05002,0.092089,0.068007,0.001325,-0.013717,-0.017192,0.032372,0.193642,0.003273,0.011084,-0.004038,0.146511,0.048438,0.022341,0.023978,0.08418,0.002938,0.157333,0.014899,0.100987,0.050295,0.023201
20141128,0.042772,0.105556,0.05077,0.101169,0.0472,0.077511,0.081338,0.018499,0.093255,-0.003571,0.023061,0.108623,0.063136,0.060193,0.085213,0.082899,0.026553,-0.041703,0.087515,0.051253,0.139673,0.016735,0.041212,0.071406,0.030533,0.068269,0.086723,0.129546,0.028628,0.021983,0.10522,0.032384,0.128612,0.144828,0.072248,0.045333,-0.003006,0.027304,0.02634,0.036138,0.028929,0.066024,0.067285,-0.104286,-0.030854,0.054211,-0.008776,0.126603,0.101882,0.066583,0.044312,0.092104,0.143391,0.122554,0.061392,0.157023,0.05559,0.111741,0.035182,0.111717,0.02492,0.086431,0.017382,-0.117575,-0.005841,0.119405,0.077533,0.133265,0.039004,0.010013,0.029394,0.040865,-0.066106,0.056868,0.1333,0.07901,-0.006272,0.058309,0.058809,0.015436,0.160714,0,0.011667,0.045747,0.095852,0.047016,-0.005934,0.005689,0.04652,-0.088291,0.049812,0.014042,0.028102,0.024534
20141231,-0.009646,-0.071891,-0.013301,0.022877,-0.020785,-0.03129,-0.017399,-0.050641,0.036175,-0.043011,-0.036416,-0.08354,-0.018199,0.020344,-0.069284,0.080728,-0.069928,0.103221,0.007579,0.005299,0.002565,0.004037,0.016298,-0.01815,0.017006,-0.002603,0.004128,0.006331,-0.007125,0.072317,-0.024634,-0.037852,0.029549,0.069763,0.070225,0.022595,0.025159,-0.02009,0.052212,0.004118,-0.007274,0.043269,0.043614,-0.060407,-0.028478,-0.007231,-0.033056,-0.032297,-0.025772,-0.017897,0.021573,0.012673,-0.034334,-0.032252,-0.037754,0.157709,-0.000886,-0.069515,-0.092976,-0.033883,-0.028446,-0.026147,0.077782,-0.014369,-0.025852,-0.061796,-0.043872,-0.018121,0.054066,-0.026155,0.029693,-0.048801,0.019616,-0.014083,0.032575,0.010344,-0.118277,-0.035813,0.001844,-0.12146,0.077664,-0.077081,-0.090422,0.013377,-0.017549,0.010673,0.033398,-0.051581,0.007805,-0.062493,0.075821,0.067177,-0.047315,-0.004189
20150130,-0.045239,0.061424,-0.035351,-0.061509,-0.010076,-0.100816,-0.051154,-0.009674,-0.083467,-0.037453,-0.044133,0.142355,-0.01622,-0.036075,0.036973,0.022766,-0.044085,0.146443,0.074779,-0.05166,-0.025874,0.026137,-0.017819,-0.093056,-0.079986,0.008748,0.003014,-0.045299,-0.080872,0.003315,0.027915,-0.07116,0.01023,0.085922,0.166862,-0.055595,-0.028047,0.006678,-0.060555,-0.027044,0.021981,-0.136622,-0.136571,0.112137,0.015426,0.068456,0.057482,0.090275,-0.089556,-0.055538,-0.065149,-0.125853,-0.069415,-0.056303,-0.036551,0.187309,-0.000222,-0.029869,-0.029216,0.079372,-0.130248,-0.164096,0.03828,0.293288,-0.084077,0.101977,-0.042145,0.038482,-0.027308,-0.011479,-0.116159,-0.008249,-0.159693,0.015625,-0.027053,0.066788,-0.03019,0.014286,-0.011042,-0.123834,0.142209,0.120267,-0.084574,0.060292,0.006079,0.032071,0.004684,-0.044211,-0.072896,-0.026345,-0.12168,0.044822,-0.108917,-0.031041
20150227,0.118121,0.100461,0.127905,0.131177,0.076457,0.189519,0.081056,-0.015663,0.101138,0.210117,0.041048,0.072293,0.0657,0.035982,0.116056,0.240474,-0.065024,0.052498,0.101997,0.020289,0.100336,0.086059,0.081897,0.195116,0.117321,0.065214,0.022404,0.119287,0.035135,0.060737,0.154351,0.074502,0.120675,0.016059,0.042289,0.092642,-0.050222,0.06773,-0.064189,0.040311,0.076382,0.06876,0.055489,-0.012401,0.044676,-0.010037,0.001383,0.077029,0.01362,0.12451,0.011163,0.064828,0.157106,0.14433,0.078755,0.033213,0.144723,0.048099,0.056721,0.20667,0.093069,0.04801,0.0479,0.074943,0.022487,-0.080732,0.153085,0.070015,0.110856,0.101083,0.069206,0.055449,0.160903,-0.006768,0.153745,0.07169,0.16335,0.095775,0.079553,0.302033,0.058158,0.094433,-0.001277,-0.108681,0.100094,0.066849,0.115929,0.17511,0.084347,0.076013,0.100278,-0.059952,0.105898,0.054893
20150331,-0.033454,-0.031372,-0.065234,0.076187,-0.030504,-0.087173,-0.062162,-0.039197,-0.099401,-0.138264,0.013505,-0.021202,0.025823,-0.061757,-0.015652,-0.002037,0.022822,0.030885,0.163911,0.004631,-0.010364,0.016653,-0.018206,0.069269,-0.044796,0.030859,0.004009,-0.060149,-0.034684,-0.022161,-0.00152,0.003062,0.018386,0.026342,0.028594,-0.003972,-0.009139,0.027902,-0.002768,0.041091,0.017036,-0.029671,-0.028857,-0.052159,-0.018625,-0.014984,-0.05024,0.067676,-0.059549,-0.006863,0.01006,-0.10261,-0.04791,-0.045237,-0.146071,-0.064582,-0.046226,-0.018817,-0.063732,-0.01931,-0.072862,-0.115422,0.012066,-0.122592,-0.082536,0.052579,-0.051451,0.182166,0.038966,-0.004415,-0.014208,-0.027329,-0.037926,0.090953,-0.002032,0.012997,-0.024828,-0.017995,-0.001939,-0.119703,0.120114,-0.040569,-0.071653,-0.039071,-0.027466,0.071682,-0.005709,0.046079,-0.012225,-0.012748,-0.144606,-0.004252,-0.001652,-0.017396
20150430,-0.003362,0.005786,0.028672,-0.018413,-0.012844,-0.030866,0.093985,-0.023485,-0.122784,-0.156716,-0.012136,0.133512,-0.026647,0.067012,0.00396,-0.07954,-0.038964,-0.114414,-0.100867,0.011388,0.029001,-0.019793,0.018421,-0.031329,0.022844,-0.053104,-0.053234,0.047411,0.089674,-0.020581,-0.061709,0.051511,-0.058352,0.083895,-0.012327,0.010055,0.012199,0.001062,0.035357,-0.041902,-0.02267,0.014294,0.007092,0.024254,-0.01676,-0.188439,-0.007488,0.060004,0.040934,0.037335,-0.01792,0.008749,0.013017,0.012849,0.076102,-0.005936,-0.02546,0.063175,0.161688,-0.009285,0.196409,0.03686,-0.05688,0.335525,0.026932,0.217379,0.060693,-0.042248,0.007353,-0.02469,0.035002,-0.005229,-0.019325,0.013245,-0.061503,0.047096,-0.028571,0.034031,0.01209,0.120693,-0.061451,0.074156,0.197489,-0.068945,-0.046079,0.001591,0.05098,-0.051665,0.045011,0.080559,0.073948,-0.025855,0.025059,0.008521
20150529,-0.022611,0.045146,0.039837,0.105433,0.011474,-0.047158,0.031101,-0.03185,0.022233,0.00885,-0.005446,0.017663,0.036813,0.049141,0.107166,0.266855,-0.01438,0.061669,0.12066,0.061126,-0.030076,-0.062944,0.014854,-0.042981,0.012119,-0.003216,-0.02727,0.016649,-0.050707,0.076798,0.105569,-0.032013,-0.018584,0.061418,0.080306,0.05321,0.003527,0.140189,-0.026044,0.005332,0.032861,0.002699,-0.014085,0.117003,-0.009733,0.081598,0.11848,0.133697,0.066052,0.038074,-0.016593,0.023129,0.103376,0.065411,0.088251,-0.060497,0.038454,0.08392,0.019673,-0.071694,-0.030222,-0.00711,0.076759,0.121402,-0.078621,0.106171,0.001464,0.167811,0.007804,0.028932,-0.024024,0.013772,0.024706,0.120448,-0.02235,0.05123,0.254805,-0.022785,0.064206,0.019218,0.186883,0.142186,0.109489,0.154852,0.031544,0.010126,-0.032783,-0.005039,0.040639,-0.134744,-0.003888,0.004129,0.100784,0.010491
20150630,-0.04616,-0.037266,0.024276,-0.055547,-0.056017,-0.075254,0.033625,0.103333,-0.045206,0.052632,-0.017535,0.011323,0.025169,-0.072752,-0.041568,-0.099548,0.008511,0.017507,0.089273,-0.006569,-0.076011,0.026304,-0.061025,-0.043403,0.033014,-0.052809,0.025434,-0.063118,-0.04196,-0.017424,-0.056088,0.079219,0.05334,0.11517,0.059677,-0.018253,-0.071239,0.019485,0.016141,0.083028,0.033437,-0.036483,-0.031399,0.046673,-0.0218,-0.053982,0.059589,-0.053926,-0.117382,-0.032453,-0.006663,-0.057828,-0.060143,-0.058046,-0.007295,0.092156,-0.034704,-0.007213,-0.022924,0.052954,-0.057832,-0.325457,-0.014115,0.052687,-0.05509,0.024433,-0.091279,-0.125167,0.029381,-0.051204,0.003933,-0.024759,-0.094288,-0.004741,0.00812,0.031851,0.12323,-0.033679,0.015234,0.029577,-0.048098,-0.002829,0.069617,0.007307,-0.078863,0.011991,0.00248,-0.023263,-0.037493,-0.032058,-0.1894,-0.045521,-0.068747,-0.021012
20150731,-0.023928,-0.032888,0.012097,-0.091221,-0.005734,0.010085,-0.000159,0.092217,-0.096774,-0.195833,0.150274,0.235113,0.031894,-0.047633,0.065262,-0.058602,-0.13271,-0.210823,0.069382,0.066633,0.048133,0.038517,0.015336,0.085314,0.037745,0.075818,0.015502,0.042607,-0.04196,0.010758,0.032902,0.07768,-0.012153,0.05839,0.07594,0.128031,0.021324,0.110562,-0.000948,0.096135,0.048654,0.040348,0.059764,0.006662,0.201917,0.133926,0.004305,0.000672,-0.048167,0.052099,0.100454,-0.056218,0.017692,0.019609,-0.055071,-0.037366,-0.096679,0.096986,-0.077699,0.145725,0.057758,-0.017516,-0.015474,0.218026,-0.007288,-0.04304,-0.007956,-0.012322,0.063413,-0.00128,0.016142,0.032248,0.028102,0.085331,0.093602,0.080481,-0.01095,0.061662,0.003751,0.004596,-0.08098,0.048749,-0.007866,0.145448,-0.023102,0.074976,0.073529,0.149384,0.093294,0.10394,0.097424,0.077377,-0.054574,0.019742
20150831,-0.023413,-0.066117,-0.041712,-0.035488,-0.030713,-0.075722,-0.097289,-0.127887,-0.067684,-0.062176,-0.136021,-0.043383,-0.058949,-0.082182,0.11012,0.006633,-0.147168,-0.067382,-0.116429,-0.045303,0.108196,-0.138873,-0.034171,-0.022867,-0.09742,-0.033379,-0.028032,-0.089374,-0.118926,-0.005965,-0.002536,-0.099193,-0.022684,0.112109,-0.075472,-0.035918,-0.031786,-0.051136,-0.079312,-0.048718,-0.018305,-0.174821,-0.205857,-0.108519,-0.011764,-0.017324,-0.098906,0.114212,-0.005872,-0.189279,-0.041675,-0.045617,-0.08273,-0.086895,-0.053337,0.018295,-0.007937,-0.061378,-0.157931,-0.098274,-0.061456,-0.113452,-0.002056,0.006299,0.026003,-0.194835,0.131704,-0.12723,-0.000999,-0.0375,-0.086829,-0.035496,-0.113838,-0.072535,-0.085403,-0.052822,-0.158763,-0.036616,-0.076908,-0.113955,-0.084248,-0.025824,-0.064212,-0.077581,-0.042817,-0.047823,-0.064396,-0.028193,-0.055407,-0.166845,-0.047641,-0.027113,0.010778,-0.062581
20150930,-0.034815,-0.021816,0.046455,0.009846,0.045654,-0.055829,0.002827,-0.091759,-0.086727,-0.049724,-0.088681,-0.00195,-0.005192,-0.033399,0.078938,-0.004287,-0.066825,-0.018466,-0.185082,0.032967,0.027925,-0.029145,0.016921,-0.031716,0.009764,0.032274,-0.060537,0.014297,-0.017531,0.008942,-0.005243,0.017178,-0.125885,-0.087954,0.024187,-0.098488,-0.03446,0.023393,-0.050078,0.005256,0.015715,-0.015907,-0.009493,-0.061388,-0.0159,0.038897,-0.110268,-0.050435,0.056062,0.034985,-0.100538,-0.002195,-0.107648,-0.085803,-0.098117,-0.208717,0.022306,-0.007554,-0.171622,-0.023978,0.017004,-0.087142,-0.008019,-0.102321,-0.073842,0.08041,0.09653,0.028588,0.041363,0.066502,-0.115313,0.022302,-0.050371,-0.094177,-0.000668,0.038933,-0.042463,-0.019659,-0.015981,-0.106826,-0.035947,0.005049,-0.00265,-0.013732,0.035117,0.033272,0.011357,0.023499,-0.183344,-0.019926,-0.024646,0.059294,0.012175,-0.026443
20151030,0.125806,0.083409,0.078326,0.065768,0.082504,0.25034,0.153277,0.125392,0.141593,0.232558,0.14358,0.222724,0.081348,0.054671,0.125283,-0.015039,0.364311,-0.004455,0.11128,0.074468,0.093735,0.10557,0.070717,0.085812,0.105309,0.093726,0.100608,0.107048,0.003346,0.085598,0.087845,0.185046,-0.017552,-0.029583,0.063764,0.141571,-0.059933,0.158226,0.077301,0.13426,0.114306,0.140746,0.137509,0.101232,0.168288,-0.075825,-0.185076,0.065259,0.123424,0.101183,0.080552,0.3424,0.036796,0.039493,0.172356,-0.02922,0.120678,0.10246,0.080277,0.008732,0.189336,0.105474,0.226946,0.049584,0.15473,0.203213,0.150913,-0.100149,0.10504,0.091749,0.009201,0.083669,0.1059,0.198327,0.043532,0.100809,0.075985,0.090909,0.082287,0.014634,-0.082769,-0.048229,-0.166948,0.155587,0.153069,0.064953,-0.031119,0.14229,0.197811,0.14682,-0.158862,0.006213,0.123113,0.082983
20151130,-0.073196,-0.00569,0.031581,0.025116,-0.008392,0.150027,0.019554,0.013864,0.125224,0.113208,0.023454,0.06215,-0.022033,-0.000754,0.083429,0.059449,0.162693,-0.012564,-0.18515,0.0036,-0.031607,-0.10092,0.027667,-0.018749,-0.028106,0.0234,0.09003,-0.055459,0.060022,-0.004834,-0.051828,-0.066139,0.152237,0.020403,-0.059387,0.060573,-0.010745,-0.095011,0.036262,0.022261,-0.002798,-0.030117,-0.038449,-0.020068,0.044724,0.032061,0.283501,-0.027993,0.033963,0.028431,0.047161,-0.001937,-0.047394,-0.038462,0.021021,-0.027456,0.007217,-0.054159,0.252821,0.13417,0.039324,-0.038043,-0.046608,0.137941,-0.098235,0.156992,0.122136,0.192853,-0.044849,0.051764,-0.008547,-0.019865,-0.170818,-0.023126,0.028272,-0.015662,0.01181,0.007353,0.002001,0.059473,0.078198,-0.063077,0.112743,0.065361,0.024683,-0.040009,0.046641,0.109677,0.037037,0.060023,-0.065998,0.000842,0.049979,0.000505
